slidenum,spot,cell,class_label,class_value,class_prob,umap1,umap2
168,3,1,Squ.epi,4.1757503,0.984868809813617,6.384327,2.5566044
168,3,2,Squ.epi,4.0731797,0.9832617644830924,6.125311,1.372324
168,6,1,Squ.epi,4.0636554,0.9831042885362128,6.3452606,1.3362131
168,6,6,Squ.epi,3.891004,0.9799839959644258,5.5525665,1.6917057
168,7,0,Squ.epi,4.033084,0.982588917560678,4.9908752,3.81137
168,7,1,Squ.epi,3.8893142,0.979950820846418,4.703121,3.7995663
168,7,2,Squ.epi,3.9726927,0.9815250672806572,6.4577637,1.6839819
168,9,1,Squ.epi,2.620874,0.9321929676199724,-1.759119,-2.9600468
168,9,2,Para.Squ,1.3873004,0.8001609131829115,-6.030672,-0.09741306
168,11,0,Squ.epi,2.3306108,0.911380677107589,-3.5314713,-0.6972885
168,11,2,Squ.epi,1.3713622,0.7976001498247764,-4.2845364,-1.5885487
168,11,3,Squ.epi,3.668231,0.975113563670336,1.0954838,1.1318483
168,13,0,Squ.epi,4.080361,0.983379543376451,6.0810394,2.0958204
168,13,1,Squ.epi,4.1619387,0.9846616019101652,6.3354435,2.0498552
168,13,2,Squ.epi,4.081279,0.9833945392669936,5.864359,0.68544865
168,14,0,Squ.epi,4.128033,0.984141017858239,6.485214,1.6996078
168,14,1,Squ.epi,3.8143232,0.9784231905840576,2.4108677,4.375469
168,14,2,Squ.epi,1.9854054,0.8792562071941555,-3.8407602,0.7027283
168,14,3,Squ.epi,3.9110422,0.9803732938438682,3.9286976,-0.019335747
168,14,4,Squ.epi,3.910564,0.9803640891426126,5.5473537,2.3078032
168,14,5,Squ.epi,1.062712,0.7432084620654016,-5.1466007,-0.27124214
168,14,6,Squ.epi,3.668169,0.9751120593367808,2.230072,-1.5713692
168,14,9,Squ.epi,3.4102516,0.9680233920200192,2.552579,-0.45743084
168,14,10,Squ.epi,3.5792522,0.9728605468228736,1.4889936,0.2765751
168,15,3,Squ.epi,1.9406921,0.8744281546127102,-3.5245695,-0.6681862
168,15,5,Squ.epi,4.182216,0.9849648648876564,6.5397205,1.9541893
168,15,7,Squ.epi,3.5594974,0.972334059504912,2.2473602,0.49614525
168,15,10,Squ.epi,3.7227714,0.9764033589738615,2.7374763,-1.9347382
168,15,11,Squ.epi,3.0506575,0.9548109046455924,-1.9087133,-1.0358591
168,15,21,Squ.epi,3.8721182,0.9796101655048935,5.0616913,2.6294842
168,16,0,Squ.epi,3.0340552,0.9540891320344744,0.044395447,-2.6807218
168,16,1,Squ.epi,3.0604818,0.9552329041167804,-0.91058064,2.2189856
168,16,2,Squ.epi,3.72363,0.9764231316313988,2.2393808,4.3523493
168,16,3,Squ.epi,3.22294,0.961688481086898,0.8472309,4.175007
168,16,5,Squ.epi,3.924142,0.9806237713635167,4.552927,3.9764175
168,16,8,Squ.epi,3.5754938,0.9727611367906516,3.0154371,3.2212238
168,16,11,Squ.epi,4.1458707,0.984417025683572,6.531933,0.6542835
168,16,12,Squ.epi,3.8909209,0.9799823637424124,5.487564,3.1236172
168,16,14,Squ.epi,3.8359013,0.978874058694827,5.1806498,-0.004213333
168,16,16,Squ.epi,4.049749,0.9828717399165192,5.747322,-0.4853649
168,16,20,Squ.epi,2.3621144,0.9138923422574312,-2.8649368,-3.2925453
168,16,22,Squ.epi,3.9339716,0.9808096648304118,3.7909088,3.667511
168,16,27,Squ.epi,4.1264434,0.9841161863766632,6.352888,1.5453901
168,16,31,Squ.epi,2.6787035,0.9357582316158538,-2.1028671,-3.3944616
168,16,32,Squ.epi,3.015716,0.9532790978850908,-1.737524,-3.267315
168,16,33,Squ.epi,3.7556515,0.9771491609002618,3.2723942,0.30535126
168,16,35,Squ.epi,3.9543056,0.9811886742720768,5.7818146,1.8134613
168,16,36,Squ.epi,3.5707998,0.9726364843128644,2.527007,0.38796997
168,16,37,Squ.epi,3.0435627,0.9545037927202932,-0.29998684,-2.4243784
168,16,38,Squ.epi,3.8647838,0.9794631496356084,2.8838615,3.4682941
168,16,42,Squ.epi,3.9290442,0.9807167009858332,3.9537315,2.9869308
168,16,44,Squ.epi,4.2531657,0.985980200895714,6.71871,2.0002136
168,16,45,Squ.epi,3.282774,0.963833105599059,-0.12313843,-2.9174309
168,16,46,Squ.epi,3.7862759,0.9778230630468164,3.3519554,3.205017
168,16,48,Squ.epi,4.1719594,0.984812213627038,6.130108,1.8994598
168,16,49,Squ.epi,3.4613402,0.9695675356880832,1.0696521,4.1071568
168,16,50,Squ.epi,2.2801604,0.9072205511417412,-3.7967033,1.5065241
168,16,51,Squ.epi,3.8110294,0.978353545661615,3.0920258,3.2865658
168,16,53,Squ.epi,3.9199803,0.9805445393820674,4.2273893,2.8647232
168,16,54,Squ.epi,3.897984,0.9801204523526302,4.582466,4.055373
168,16,56,Squ.epi,3.069064,0.955598470672224,-1.1875153,3.2120867
168,16,58,Squ.epi,3.8924768,0.9800128633263204,4.927061,1.1467066
168,16,59,Squ.epi,2.1903098,0.8993759430971928,-3.1790066,1.821249
